T = 72 sec			-> Ukupno vrijeme uzimanja uzoraka
fs = 10 Hz			-> Frekvencija uzimanja uzoraka
omega = 20 deg/s	-> Kutna brzina
n = [0, 1, 0]		-> Nenormalizirani vektor osi rotacije

Legenda:
	a_i	-> Mjerenje akcelerometra u inercijalnom sustavu (x, y, i z komponenta)
	m_i	-> Mjerenje magnetometra u inercijalnom sustavu (x, y, i z komponenta)
	w_i	-> Mjerenje ziroskopa u inercijalnom sustavu (x, y, i z komponenta)
	a_b	-> Mjerenje akcelerometra u sustavu tijela (x, y, i z komponenta)
	m_b	-> Mjerenje magnetometra u sustavu tijela (x, y, i z komponenta)
	w_b	-> Mjerenje ziroskopa u sustavu tijela (x, y, i z komponenta)
	qib	-> Kvaternion rotacije iz inercijalnog u sustav tijela (cetiri komponente)

Format podataka:
------------------------------------------------------------------------------------------------------------------------------------------------------
a_i_x, a_i_y, a_i_z, m_i_x, m_i_y, m_i_z, w_i_x, w_i_y, w_i_z, a_b_x, a_b_y, a_b_z, m_b_x, m_b_y, m_b_z, w_b_x, w_b_y, w_b_z, qib1, qib2, qib3, qib4
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-8.6617,0.0000,-4.6055,48.1241,1.7000,0.4450,0.0000,0.3491,0.0000,0.8572,-0.0000,-0.5150,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-8.4957,0.0000,-4.9050,48.0793,1.7000,2.1242,0.0000,0.3491,0.0000,0.8660,-0.0000,-0.5000,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-8.3194,0.0000,-5.1985,47.9759,1.7000,3.8009,0.0000,0.3491,0.0000,0.8746,-0.0000,-0.4848,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-8.1329,0.0000,-5.4857,47.8140,1.7000,5.4729,0.0000,0.3491,0.0000,0.8829,-0.0000,-0.4695,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-7.9365,0.0000,-5.7662,47.5939,1.7000,7.1383,0.0000,0.3491,0.0000,0.8910,-0.0000,-0.4540,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-7.7304,0.0000,-6.0396,47.3157,1.7000,8.7949,0.0000,0.3491,0.0000,0.8988,-0.0000,-0.4384,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-7.5149,0.0000,-6.3057,46.9800,1.7000,10.4408,0.0000,0.3491,0.0000,0.9063,-0.0000,-0.4226,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-7.2903,0.0000,-6.5642,46.5870,1.7000,12.0741,0.0000,0.3491,0.0000,0.9135,-0.0000,-0.4067,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-7.0567,0.0000,-6.8146,46.1372,1.7000,13.6926,0.0000,0.3491,0.0000,0.9205,-0.0000,-0.3907,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-6.8146,0.0000,-7.0567,45.6313,1.7000,15.2944,0.0000,0.3491,0.0000,0.9272,-0.0000,-0.3746,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-6.5642,0.0000,-7.2903,45.0697,1.7000,16.8776,0.0000,0.3491,0.0000,0.9336,-0.0000,-0.3584,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-6.3057,0.0000,-7.5149,44.4532,1.7000,18.4402,0.0000,0.3491,0.0000,0.9397,-0.0000,-0.3420,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-6.0396,0.0000,-7.7304,43.7826,1.7000,19.9804,0.0000,0.3491,0.0000,0.9455,-0.0000,-0.3256,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-5.7662,0.0000,-7.9365,43.0586,1.7000,21.4962,0.0000,0.3491,0.0000,0.9511,-0.0000,-0.3090,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-5.4857,0.0000,-8.1329,42.2822,1.7000,22.9858,0.0000,0.3491,0.0000,0.9563,-0.0000,-0.2924,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-5.1985,0.0000,-8.3194,41.4542,1.7000,24.4474,0.0000,0.3491,0.0000,0.9613,-0.0000,-0.2756,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-4.9050,0.0000,-8.4957,40.5758,1.7000,25.8793,0.0000,0.3491,0.0000,0.9659,-0.0000,-0.2588,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-4.6055,0.0000,-8.6617,39.6479,1.7000,27.2796,0.0000,0.3491,0.0000,0.9703,-0.0000,-0.2419,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-4.3004,0.0000,-8.8172,38.6717,1.7000,28.6467,0.0000,0.3491,0.0000,0.9744,-0.0000,-0.2250,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-3.9901,0.0000,-8.9619,37.6484,1.7000,29.9788,0.0000,0.3491,0.0000,0.9781,-0.0000,-0.2079,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-3.6749,0.0000,-9.0957,36.5792,1.7000,31.2745,0.0000,0.3491,0.0000,0.9816,-0.0000,-0.1908,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-3.3552,0.0000,-9.2184,35.4654,1.7000,32.5320,0.0000,0.3491,0.0000,0.9848,-0.0000,-0.1736,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-3.0315,0.0000,-9.3299,34.3085,1.7000,33.7499,0.0000,0.3491,0.0000,0.9877,-0.0000,-0.1564,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-2.7040,0.0000,-9.4300,33.1097,1.7000,34.9267,0.0000,0.3491,0.0000,0.9903,-0.0000,-0.1392,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-2.3733,0.0000,-9.5186,31.8706,1.7000,36.0610,0.0000,0.3491,0.0000,0.9925,-0.0000,-0.1219,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-2.0396,0.0000,-9.5956,30.5927,1.7000,37.1513,0.0000,0.3491,0.0000,0.9945,-0.0000,-0.1045,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-1.7035,0.0000,-9.6610,29.2775,1.7000,38.1963,0.0000,0.3491,0.0000,0.9962,-0.0000,-0.0872,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-1.3653,0.0000,-9.7145,27.9266,1.7000,39.1948,0.0000,0.3491,0.0000,0.9976,-0.0000,-0.0698,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-1.0254,0.0000,-9.7563,26.5418,1.7000,40.1456,0.0000,0.3491,0.0000,0.9986,-0.0000,-0.0523,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-0.6843,0.0000,-9.7861,25.1245,1.7000,41.0474,0.0000,0.3491,0.0000,0.9994,-0.0000,-0.0349,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-0.3424,0.0000,-9.8040,23.6767,1.7000,41.8992,0.0000,0.3491,0.0000,0.9998,-0.0000,-0.0175,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,-0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,1.0000,-0.0000,-0.0000,-0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,0.3424,0.0000,-9.8040,20.6963,1.7000,43.4488,0.0000,0.3491,0.0000,0.9998,0.0000,0.0175,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,0.6843,0.0000,-9.7861,19.1673,1.7000,44.1446,0.0000,0.3491,0.0000,0.9994,0.0000,0.0349,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,1.0254,0.0000,-9.7563,17.6150,1.7000,44.7866,0.0000,0.3491,0.0000,0.9986,0.0000,0.0523,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,1.3653,0.0000,-9.7145,16.0413,1.7000,45.3741,0.0000,0.3491,0.0000,0.9976,0.0000,0.0698,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,1.7035,0.0000,-9.6610,14.4480,1.7000,45.9063,0.0000,0.3491,0.0000,0.9962,0.0000,0.0872,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,2.0396,0.0000,-9.5956,12.8370,1.7000,46.3825,0.0000,0.3491,0.0000,0.9945,0.0000,0.1045,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,2.3733,0.0000,-9.5186,11.2105,1.7000,46.8023,0.0000,0.3491,0.0000,0.9925,0.0000,0.1219,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,2.7040,0.0000,-9.4300,9.5703,1.7000,47.1650,0.0000,0.3491,0.0000,0.9903,0.0000,0.1392,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.0315,0.0000,-9.3299,7.9184,1.7000,47.4703,0.0000,0.3491,0.0000,0.9877,0.0000,0.1564,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.3552,0.0000,-9.2184,6.2569,1.7000,47.7177,0.0000,0.3491,0.0000,0.9848,0.0000,0.1736,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.6749,0.0000,-9.0957,4.5878,1.7000,47.9070,0.0000,0.3491,0.0000,0.9816,0.0000,0.1908,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.9901,0.0000,-8.9619,2.9131,1.7000,48.0379,0.0000,0.3491,0.0000,0.9781,0.0000,0.2079,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,4.3004,0.0000,-8.8172,1.2348,1.7000,48.1103,0.0000,0.3491,0.0000,0.9744,0.0000,0.2250,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,4.6055,0.0000,-8.6617,-0.4450,1.7000,48.1241,0.0000,0.3491,0.0000,0.9703,0.0000,0.2419,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,4.9050,0.0000,-8.4957,-2.1242,1.7000,48.0793,0.0000,0.3491,0.0000,0.9659,0.0000,0.2588,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,5.1985,0.0000,-8.3194,-3.8009,1.7000,47.9759,0.0000,0.3491,0.0000,0.9613,0.0000,0.2756,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,5.4857,0.0000,-8.1329,-5.4729,1.7000,47.8140,0.0000,0.3491,0.0000,0.9563,0.0000,0.2924,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,5.7662,0.0000,-7.9365,-7.1383,1.7000,47.5939,0.0000,0.3491,0.0000,0.9511,0.0000,0.3090,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.0396,0.0000,-7.7304,-8.7949,1.7000,47.3157,0.0000,0.3491,0.0000,0.9455,0.0000,0.3256,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.3057,0.0000,-7.5149,-10.4408,1.7000,46.9800,0.0000,0.3491,0.0000,0.9397,0.0000,0.3420,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.5642,0.0000,-7.2903,-12.0741,1.7000,46.5870,0.0000,0.3491,0.0000,0.9336,0.0000,0.3584,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.8146,0.0000,-7.0567,-13.6926,1.7000,46.1372,0.0000,0.3491,0.0000,0.9272,0.0000,0.3746,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.0567,0.0000,-6.8146,-15.2944,1.7000,45.6313,0.0000,0.3491,0.0000,0.9205,0.0000,0.3907,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.2903,0.0000,-6.5642,-16.8776,1.7000,45.0697,0.0000,0.3491,0.0000,0.9135,0.0000,0.4067,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.5149,0.0000,-6.3057,-18.4402,1.7000,44.4532,0.0000,0.3491,0.0000,0.9063,0.0000,0.4226,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.7304,0.0000,-6.0396,-19.9804,1.7000,43.7826,0.0000,0.3491,0.0000,0.8988,0.0000,0.4384,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.9365,0.0000,-5.7662,-21.4962,1.7000,43.0586,0.0000,0.3491,0.0000,0.8910,0.0000,0.4540,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.1329,0.0000,-5.4857,-22.9858,1.7000,42.2822,0.0000,0.3491,0.0000,0.8829,0.0000,0.4695,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.3194,0.0000,-5.1985,-24.4474,1.7000,41.4542,0.0000,0.3491,0.0000,0.8746,0.0000,0.4848,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.4957,0.0000,-4.9050,-25.8793,1.7000,40.5758,0.0000,0.3491,0.0000,0.8660,0.0000,0.5000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.6617,0.0000,-4.6055,-27.2796,1.7000,39.6479,0.0000,0.3491,0.0000,0.8572,0.0000,0.5150,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.8172,0.0000,-4.3004,-28.6467,1.7000,38.6717,0.0000,0.3491,0.0000,0.8480,0.0000,0.5299,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.9619,0.0000,-3.9901,-29.9788,1.7000,37.6484,0.0000,0.3491,0.0000,0.8387,0.0000,0.5446,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.0957,0.0000,-3.6749,-31.2745,1.7000,36.5792,0.0000,0.3491,0.0000,0.8290,0.0000,0.5592,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.2184,0.0000,-3.3552,-32.5320,1.7000,35.4654,0.0000,0.3491,0.0000,0.8192,0.0000,0.5736,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.3299,0.0000,-3.0315,-33.7499,1.7000,34.3085,0.0000,0.3491,0.0000,0.8090,0.0000,0.5878,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.4300,0.0000,-2.7040,-34.9267,1.7000,33.1097,0.0000,0.3491,0.0000,0.7986,0.0000,0.6018,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.5186,0.0000,-2.3733,-36.0610,1.7000,31.8706,0.0000,0.3491,0.0000,0.7880,0.0000,0.6157,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.5956,0.0000,-2.0396,-37.1513,1.7000,30.5927,0.0000,0.3491,0.0000,0.7771,0.0000,0.6293,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.6610,0.0000,-1.7035,-38.1963,1.7000,29.2775,0.0000,0.3491,0.0000,0.7660,0.0000,0.6428,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.7145,0.0000,-1.3653,-39.1948,1.7000,27.9266,0.0000,0.3491,0.0000,0.7547,0.0000,0.6561,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.7563,0.0000,-1.0254,-40.1456,1.7000,26.5418,0.0000,0.3491,0.0000,0.7431,0.0000,0.6691,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.7861,0.0000,-0.6843,-41.0474,1.7000,25.1245,0.0000,0.3491,0.0000,0.7314,0.0000,0.6820,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.8040,0.0000,-0.3424,-41.8992,1.7000,23.6767,0.0000,0.3491,0.0000,0.7193,0.0000,0.6947,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.8100,0.0000,-0.0000,-42.7000,1.7000,22.2000,0.0000,0.3491,0.0000,0.7071,0.0000,0.7071,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.8040,0.0000,0.3424,-43.4488,1.7000,20.6963,0.0000,0.3491,0.0000,0.6947,0.0000,0.7193,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.7861,0.0000,0.6843,-44.1446,1.7000,19.1673,0.0000,0.3491,0.0000,0.6820,0.0000,0.7314,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.7563,0.0000,1.0254,-44.7866,1.7000,17.6150,0.0000,0.3491,0.0000,0.6691,0.0000,0.7431,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.7145,0.0000,1.3653,-45.3741,1.7000,16.0413,0.0000,0.3491,0.0000,0.6561,0.0000,0.7547,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.6610,0.0000,1.7035,-45.9063,1.7000,14.4480,0.0000,0.3491,0.0000,0.6428,0.0000,0.7660,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.5956,0.0000,2.0396,-46.3825,1.7000,12.8370,0.0000,0.3491,0.0000,0.6293,0.0000,0.7771,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.5186,0.0000,2.3733,-46.8023,1.7000,11.2105,0.0000,0.3491,0.0000,0.6157,0.0000,0.7880,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.4300,0.0000,2.7040,-47.1650,1.7000,9.5703,0.0000,0.3491,0.0000,0.6018,0.0000,0.7986,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.3299,0.0000,3.0315,-47.4703,1.7000,7.9184,0.0000,0.3491,0.0000,0.5878,0.0000,0.8090,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.2184,0.0000,3.3552,-47.7177,1.7000,6.2569,0.0000,0.3491,0.0000,0.5736,0.0000,0.8192,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,9.0957,0.0000,3.6749,-47.9070,1.7000,4.5878,0.0000,0.3491,0.0000,0.5592,0.0000,0.8290,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.9619,0.0000,3.9901,-48.0379,1.7000,2.9131,0.0000,0.3491,0.0000,0.5446,0.0000,0.8387,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.8172,0.0000,4.3004,-48.1103,1.7000,1.2348,0.0000,0.3491,0.0000,0.5299,0.0000,0.8480,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.6617,0.0000,4.6055,-48.1241,1.7000,-0.4450,0.0000,0.3491,0.0000,0.5150,0.0000,0.8572,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.4957,0.0000,4.9050,-48.0793,1.7000,-2.1242,0.0000,0.3491,0.0000,0.5000,0.0000,0.8660,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.3194,0.0000,5.1985,-47.9759,1.7000,-3.8009,0.0000,0.3491,0.0000,0.4848,0.0000,0.8746,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,8.1329,0.0000,5.4857,-47.8140,1.7000,-5.4729,0.0000,0.3491,0.0000,0.4695,0.0000,0.8829,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.9365,0.0000,5.7662,-47.5939,1.7000,-7.1383,0.0000,0.3491,0.0000,0.4540,0.0000,0.8910,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.7304,0.0000,6.0396,-47.3157,1.7000,-8.7949,0.0000,0.3491,0.0000,0.4384,0.0000,0.8988,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.5149,0.0000,6.3057,-46.9800,1.7000,-10.4408,0.0000,0.3491,0.0000,0.4226,0.0000,0.9063,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.2903,0.0000,6.5642,-46.5870,1.7000,-12.0741,0.0000,0.3491,0.0000,0.4067,0.0000,0.9135,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,7.0567,0.0000,6.8146,-46.1372,1.7000,-13.6926,0.0000,0.3491,0.0000,0.3907,0.0000,0.9205,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.8146,0.0000,7.0567,-45.6313,1.7000,-15.2944,0.0000,0.3491,0.0000,0.3746,0.0000,0.9272,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.5642,0.0000,7.2903,-45.0697,1.7000,-16.8776,0.0000,0.3491,0.0000,0.3584,0.0000,0.9336,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.3057,0.0000,7.5149,-44.4532,1.7000,-18.4402,0.0000,0.3491,0.0000,0.3420,0.0000,0.9397,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,6.0396,0.0000,7.7304,-43.7826,1.7000,-19.9804,0.0000,0.3491,0.0000,0.3256,0.0000,0.9455,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,5.7662,0.0000,7.9365,-43.0586,1.7000,-21.4962,0.0000,0.3491,0.0000,0.3090,0.0000,0.9511,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,5.4857,0.0000,8.1329,-42.2822,1.7000,-22.9858,0.0000,0.3491,0.0000,0.2924,0.0000,0.9563,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,5.1985,0.0000,8.3194,-41.4542,1.7000,-24.4474,0.0000,0.3491,0.0000,0.2756,0.0000,0.9613,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,4.9050,0.0000,8.4957,-40.5758,1.7000,-25.8793,0.0000,0.3491,0.0000,0.2588,0.0000,0.9659,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,4.6055,0.0000,8.6617,-39.6479,1.7000,-27.2796,0.0000,0.3491,0.0000,0.2419,0.0000,0.9703,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,4.3004,0.0000,8.8172,-38.6717,1.7000,-28.6467,0.0000,0.3491,0.0000,0.2250,0.0000,0.9744,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.9901,0.0000,8.9619,-37.6484,1.7000,-29.9788,0.0000,0.3491,0.0000,0.2079,0.0000,0.9781,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.6749,0.0000,9.0957,-36.5792,1.7000,-31.2745,0.0000,0.3491,0.0000,0.1908,0.0000,0.9816,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.3552,0.0000,9.2184,-35.4654,1.7000,-32.5320,0.0000,0.3491,0.0000,0.1736,0.0000,0.9848,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,3.0315,0.0000,9.3299,-34.3085,1.7000,-33.7499,0.0000,0.3491,0.0000,0.1564,0.0000,0.9877,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,2.7040,0.0000,9.4300,-33.1097,1.7000,-34.9267,0.0000,0.3491,0.0000,0.1392,0.0000,0.9903,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,2.3733,0.0000,9.5186,-31.8706,1.7000,-36.0610,0.0000,0.3491,0.0000,0.1219,0.0000,0.9925,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,2.0396,0.0000,9.5956,-30.5927,1.7000,-37.1513,0.0000,0.3491,0.0000,0.1045,0.0000,0.9945,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,1.7035,0.0000,9.6610,-29.2775,1.7000,-38.1963,0.0000,0.3491,0.0000,0.0872,0.0000,0.9962,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.0000,0.3491,0.0000,1.3653,0.0000,9.7145,-27.9266,1.7000,-39.1948,0.0000,0.3491,0.0000,0.0698,0.0000,0.9976,0.0000
